Run,mutation_rate,Generation,Fitness,Time (s)
3,0.005,0,39.0,45.30463695526123
3,0.005,1,38.0,45.30463695526123
3,0.005,2,38.0,45.30463695526123
3,0.005,3,38.0,45.30463695526123
3,0.005,4,38.0,45.30463695526123
3,0.005,5,36.0,45.30463695526123
3,0.005,6,32.0,45.30463695526123
3,0.005,7,32.0,45.30463695526123
3,0.005,8,32.0,45.30463695526123
3,0.005,9,31.0,45.30463695526123
3,0.005,10,31.0,45.30463695526123
3,0.005,11,27.0,45.30463695526123
3,0.005,12,27.0,45.30463695526123
3,0.005,13,27.0,45.30463695526123
3,0.005,14,27.0,45.30463695526123
3,0.005,15,27.0,45.30463695526123
3,0.005,16,27.0,45.30463695526123
3,0.005,17,25.0,45.30463695526123
3,0.005,18,25.0,45.30463695526123
3,0.005,19,25.0,45.30463695526123
3,0.005,20,25.0,45.30463695526123
3,0.005,21,25.0,45.30463695526123
3,0.005,22,25.0,45.30463695526123
3,0.005,23,25.0,45.30463695526123
3,0.005,24,25.0,45.30463695526123
3,0.005,25,25.0,45.30463695526123
3,0.005,26,24.0,45.30463695526123
3,0.005,27,24.0,45.30463695526123
3,0.005,28,24.0,45.30463695526123
3,0.005,29,24.0,45.30463695526123
3,0.005,30,24.0,45.30463695526123
3,0.005,31,24.0,45.30463695526123
3,0.005,32,24.0,45.30463695526123
3,0.005,33,24.0,45.30463695526123
3,0.005,34,24.0,45.30463695526123
3,0.005,35,24.0,45.30463695526123
3,0.005,36,24.0,45.30463695526123
3,0.005,37,24.0,45.30463695526123
3,0.005,38,24.0,45.30463695526123
3,0.005,39,21.0,45.30463695526123
3,0.005,40,21.0,45.30463695526123
3,0.005,41,21.0,45.30463695526123
3,0.005,42,20.0,45.30463695526123
3,0.005,43,20.0,45.30463695526123
3,0.005,44,20.0,45.30463695526123
3,0.005,45,20.0,45.30463695526123
3,0.005,46,20.0,45.30463695526123
3,0.005,47,19.0,45.30463695526123
3,0.005,48,19.0,45.30463695526123
3,0.005,49,19.0,45.30463695526123
3,0.005,0,9.75,45.30463695526123
3,0.005,1,9.5,45.30463695526123
3,0.005,2,9.5,45.30463695526123
3,0.005,3,9.5,45.30463695526123
3,0.005,4,9.5,45.30463695526123
3,0.005,5,9.0,45.30463695526123
3,0.005,6,8.0,45.30463695526123
3,0.005,7,8.0,45.30463695526123
3,0.005,8,8.0,45.30463695526123
3,0.005,9,7.75,45.30463695526123
3,0.005,10,7.75,45.30463695526123
3,0.005,11,6.75,45.30463695526123
3,0.005,12,6.75,45.30463695526123
3,0.005,13,6.75,45.30463695526123
3,0.005,14,6.75,45.30463695526123
3,0.005,15,6.75,45.30463695526123
3,0.005,16,6.75,45.30463695526123
3,0.005,17,6.25,45.30463695526123
3,0.005,18,6.25,45.30463695526123
3,0.005,19,6.25,45.30463695526123
3,0.005,20,6.25,45.30463695526123
3,0.005,21,6.25,45.30463695526123
3,0.005,22,6.25,45.30463695526123
3,0.005,23,6.25,45.30463695526123
3,0.005,24,6.25,45.30463695526123
3,0.005,25,6.25,45.30463695526123
3,0.005,26,6.0,45.30463695526123
3,0.005,27,6.0,45.30463695526123
3,0.005,28,6.0,45.30463695526123
3,0.005,29,6.0,45.30463695526123
3,0.005,30,6.0,45.30463695526123
3,0.005,31,6.0,45.30463695526123
3,0.005,32,6.0,45.30463695526123
3,0.005,33,6.0,45.30463695526123
3,0.005,34,6.0,45.30463695526123
3,0.005,35,6.0,45.30463695526123
3,0.005,36,6.0,45.30463695526123
3,0.005,37,6.0,45.30463695526123
3,0.005,38,6.0,45.30463695526123
3,0.005,39,5.25,45.30463695526123
3,0.005,40,5.25,45.30463695526123
3,0.005,41,5.25,45.30463695526123
3,0.005,42,5.0,45.30463695526123
3,0.005,43,5.0,45.30463695526123
3,0.005,44,5.0,45.30463695526123
