Run,mutation_rate,Generation,Fitness,Time (s)
38,0.05,0,-39,285.2439522743225
38,0.05,1,-38,285.2439522743225
38,0.05,2,-35,285.2439522743225
38,0.05,3,-35,285.2439522743225
38,0.05,4,-33,285.2439522743225
38,0.05,5,-33,285.2439522743225
38,0.05,6,-32,285.2439522743225
38,0.05,7,-30,285.2439522743225
38,0.05,8,-30,285.2439522743225
38,0.05,9,-27,285.2439522743225
38,0.05,10,-27,285.2439522743225
38,0.05,11,-24,285.2439522743225
38,0.05,12,-24,285.2439522743225
38,0.05,13,-24,285.2439522743225
38,0.05,14,-24,285.2439522743225
38,0.05,15,-24,285.2439522743225
38,0.05,16,-24,285.2439522743225
38,0.05,17,-21,285.2439522743225
38,0.05,18,-21,285.2439522743225
38,0.05,19,-21,285.2439522743225
38,0.05,20,-21,285.2439522743225
38,0.05,21,-21,285.2439522743225
38,0.05,22,-18,285.2439522743225
38,0.05,23,-18,285.2439522743225
38,0.05,24,-17,285.2439522743225
38,0.05,25,-17,285.2439522743225
38,0.05,26,-16,285.2439522743225
38,0.05,27,-16,285.2439522743225
38,0.05,28,-16,285.2439522743225
38,0.05,29,-16,285.2439522743225
38,0.05,30,-15,285.2439522743225
38,0.05,31,-15,285.2439522743225
38,0.05,32,-14,285.2439522743225
38,0.05,33,-14,285.2439522743225
38,0.05,34,-14,285.2439522743225
38,0.05,35,-13,285.2439522743225
38,0.05,36,-13,285.2439522743225
38,0.05,37,-13,285.2439522743225
38,0.05,38,-12,285.2439522743225
38,0.05,39,-11,285.2439522743225
38,0.05,40,-10,285.2439522743225
38,0.05,41,-10,285.2439522743225
38,0.05,42,-10,285.2439522743225
38,0.05,43,-10,285.2439522743225
38,0.05,44,-10,285.2439522743225
38,0.05,45,-10,285.2439522743225
38,0.05,46,-10,285.2439522743225
38,0.05,47,-9,285.2439522743225
38,0.05,48,-9,285.2439522743225
38,0.05,49,-9,285.2439522743225
38,0.05,50,-9,285.2439522743225
38,0.05,51,-9,285.2439522743225
38,0.05,52,-9,285.2439522743225
38,0.05,53,-8,285.2439522743225
38,0.05,54,-8,285.2439522743225
38,0.05,55,-8,285.2439522743225
38,0.05,56,-8,285.2439522743225
38,0.05,57,-8,285.2439522743225
38,0.05,58,-8,285.2439522743225
38,0.05,59,-8,285.2439522743225
38,0.05,60,-8,285.2439522743225
38,0.05,61,-8,285.2439522743225
38,0.05,62,-8,285.2439522743225
38,0.05,63,-8,285.2439522743225
38,0.05,64,-8,285.2439522743225
38,0.05,65,-8,285.2439522743225
38,0.05,66,-8,285.2439522743225
38,0.05,67,-8,285.2439522743225
38,0.05,68,-8,285.2439522743225
38,0.05,69,-8,285.2439522743225
38,0.05,70,-8,285.2439522743225
38,0.05,71,-8,285.2439522743225
38,0.05,72,-8,285.2439522743225
38,0.05,73,-8,285.2439522743225
38,0.05,74,-8,285.2439522743225
38,0.05,75,-8,285.2439522743225
38,0.05,76,-8,285.2439522743225
38,0.05,77,-8,285.2439522743225
38,0.05,78,-8,285.2439522743225
38,0.05,79,-8,285.2439522743225
38,0.05,80,-8,285.2439522743225
38,0.05,81,-8,285.2439522743225
38,0.05,82,-8,285.2439522743225
38,0.05,83,-8,285.2439522743225
38,0.05,84,-8,285.2439522743225
38,0.05,85,-8,285.2439522743225
38,0.05,86,-8,285.2439522743225
38,0.05,87,-8,285.2439522743225
38,0.05,88,-8,285.2439522743225
38,0.05,89,-8,285.2439522743225
38,0.05,90,-8,285.2439522743225
38,0.05,91,-8,285.2439522743225
38,0.05,92,-8,285.2439522743225
38,0.05,93,-8,285.2439522743225
38,0.05,94,-8,285.2439522743225
38,0.05,95,-8,285.2439522743225
38,0.05,96,-8,285.2439522743225
38,0.05,97,-8,285.2439522743225
38,0.05,98,-8,285.2439522743225
38,0.05,99,-8,285.2439522743225
38,0.05,100,-8,285.2439522743225
38,0.05,101,-8,285.2439522743225
38,0.05,102,-8,285.2439522743225
38,0.05,103,-8,285.2439522743225
38,0.05,104,-8,285.2439522743225
38,0.05,105,-8,285.2439522743225
38,0.05,106,-8,285.2439522743225
38,0.05,107,-8,285.2439522743225
38,0.05,108,-8,285.2439522743225
38,0.05,109,-8,285.2439522743225
38,0.05,110,-8,285.2439522743225
38,0.05,111,-8,285.2439522743225
38,0.05,112,-8,285.2439522743225
38,0.05,113,-8,285.2439522743225
38,0.05,114,-8,285.2439522743225
38,0.05,115,-8,285.2439522743225
38,0.05,116,-8,285.2439522743225
38,0.05,117,-8,285.2439522743225
38,0.05,118,-8,285.2439522743225
38,0.05,119,-8,285.2439522743225
38,0.05,120,-8,285.2439522743225
38,0.05,121,-8,285.2439522743225
38,0.05,122,-8,285.2439522743225
38,0.05,123,-8,285.2439522743225
38,0.05,124,-8,285.2439522743225
38,0.05,125,-8,285.2439522743225
38,0.05,126,-8,285.2439522743225
38,0.05,127,-8,285.2439522743225
38,0.05,128,-8,285.2439522743225
38,0.05,129,-8,285.2439522743225
38,0.05,130,-8,285.2439522743225
38,0.05,131,-8,285.2439522743225
38,0.05,132,-8,285.2439522743225
38,0.05,133,-8,285.2439522743225
38,0.05,134,-8,285.2439522743225
38,0.05,135,-8,285.2439522743225
38,0.05,136,-8,285.2439522743225
38,0.05,137,-8,285.2439522743225
38,0.05,138,-8,285.2439522743225
38,0.05,139,-8,285.2439522743225
38,0.05,140,-8,285.2439522743225
38,0.05,141,-8,285.2439522743225
38,0.05,142,-8,285.2439522743225
38,0.05,143,-8,285.2439522743225
38,0.05,144,-8,285.2439522743225
38,0.05,145,-8,285.2439522743225
38,0.05,146,-8,285.2439522743225
38,0.05,147,-8,285.2439522743225
38,0.05,148,-8,285.2439522743225
38,0.05,149,-8,285.2439522743225
38,0.05,150,-8,285.2439522743225
38,0.05,151,-8,285.2439522743225
38,0.05,152,-8,285.2439522743225
38,0.05,153,-8,285.2439522743225
38,0.05,154,-8,285.2439522743225
38,0.05,155,-7,285.2439522743225
38,0.05,156,-7,285.2439522743225
38,0.05,157,-7,285.2439522743225
38,0.05,158,-7,285.2439522743225
38,0.05,159,-7,285.2439522743225
38,0.05,160,-7,285.2439522743225
38,0.05,161,-7,285.2439522743225
38,0.05,162,-7,285.2439522743225
38,0.05,163,-7,285.2439522743225
38,0.05,164,-7,285.2439522743225
38,0.05,165,-7,285.2439522743225
38,0.05,166,-7,285.2439522743225
38,0.05,167,-7,285.2439522743225
38,0.05,168,-7,285.2439522743225
38,0.05,169,-7,285.2439522743225
38,0.05,170,-7,285.2439522743225
38,0.05,171,-7,285.2439522743225
38,0.05,172,-7,285.2439522743225
38,0.05,173,-7,285.2439522743225
38,0.05,174,-7,285.2439522743225
38,0.05,175,-7,285.2439522743225
38,0.05,176,-7,285.2439522743225
38,0.05,177,-7,285.2439522743225
38,0.05,178,-7,285.2439522743225
38,0.05,179,-7,285.2439522743225
38,0.05,180,-7,285.2439522743225
38,0.05,181,-7,285.2439522743225
38,0.05,182,-7,285.2439522743225
38,0.05,183,-7,285.2439522743225
38,0.05,184,-7,285.2439522743225
38,0.05,185,-7,285.2439522743225
38,0.05,186,-7,285.2439522743225
38,0.05,187,-7,285.2439522743225
38,0.05,188,-7,285.2439522743225
38,0.05,189,-7,285.2439522743225
38,0.05,190,-7,285.2439522743225
38,0.05,191,-7,285.2439522743225
38,0.05,192,-7,285.2439522743225
38,0.05,193,-7,285.2439522743225
38,0.05,194,-7,285.2439522743225
38,0.05,195,-7,285.2439522743225
38,0.05,196,-6,285.2439522743225
38,0.05,197,-6,285.2439522743225
38,0.05,198,-6,285.2439522743225
38,0.05,199,-6,285.2439522743225
35,0.01,0,-41,284.53509521484375
35,0.01,1,-40,284.53509521484375
35,0.01,2,-37,284.53509521484375
35,0.01,3,-33,284.53509521484375
35,0.01,4,-33,284.53509521484375
35,0.01,5,-31,284.53509521484375
35,0.01,6,-31,284.53509521484375
35,0.01,7,-29,284.53509521484375
35,0.01,8,-29,284.53509521484375
35,0.01,9,-26,284.53509521484375
35,0.01,10,-25,284.53509521484375
35,0.01,11,-25,284.53509521484375
35,0.01,12,-25,284.53509521484375
35,0.01,13,-23,284.53509521484375
35,0.01,14,-22,284.53509521484375
35,0.01,15,-20,284.53509521484375
35,0.01,16,-20,284.53509521484375
35,0.01,17,-19,284.53509521484375
35,0.01,18,-18,284.53509521484375
35,0.01,19,-18,284.53509521484375
35,0.01,20,-17,284.53509521484375
35,0.01,21,-16,284.53509521484375
35,0.01,22,-16,284.53509521484375
35,0.01,23,-15,284.53509521484375
35,0.01,24,-14,284.53509521484375
35,0.01,25,-13,284.53509521484375
35,0.01,26,-12,284.53509521484375
35,0.01,27,-12,284.53509521484375
35,0.01,28,-12,284.53509521484375
35,0.01,29,-11,284.53509521484375
35,0.01,30,-11,284.53509521484375
35,0.01,31,-10,284.53509521484375
35,0.01,32,-10,284.53509521484375
35,0.01,33,-10,284.53509521484375
35,0.01,34,-9,284.53509521484375
35,0.01,35,-9,284.53509521484375
35,0.01,36,-9,284.53509521484375
35,0.01,37,-8,284.53509521484375
35,0.01,38,-8,284.53509521484375
35,0.01,39,-8,284.53509521484375
35,0.01,40,-8,284.53509521484375
35,0.01,41,-8,284.53509521484375
35,0.01,42,-8,284.53509521484375
35,0.01,43,-8,284.53509521484375
35,0.01,44,-8,284.53509521484375
35,0.01,45,-7,284.53509521484375
35,0.01,46,-7,284.53509521484375
35,0.01,47,-7,284.53509521484375
35,0.01,48,-7,284.53509521484375
35,0.01,49,-7,284.53509521484375
35,0.01,50,-7,284.53509521484375
35,0.01,51,-7,284.53509521484375
35,0.01,52,-7,284.53509521484375
35,0.01,53,-7,284.53509521484375
35,0.01,54,-7,284.53509521484375
35,0.01,55,-7,284.53509521484375
35,0.01,56,-7,284.53509521484375
35,0.01,57,-7,284.53509521484375
35,0.01,58,-7,284.53509521484375
35,0.01,59,-7,284.53509521484375
35,0.01,60,-7,284.53509521484375
35,0.01,61,-6,284.53509521484375
35,0.01,62,-6,284.53509521484375
35,0.01,63,-6,284.53509521484375
35,0.01,64,-6,284.53509521484375
35,0.01,65,-6,284.53509521484375
35,0.01,66,-6,284.53509521484375
35,0.01,67,-6,284.53509521484375
35,0.01,68,-5,284.53509521484375
35,0.01,69,-5,284.53509521484375
35,0.01,70,-5,284.53509521484375
35,0.01,71,-5,284.53509521484375
35,0.01,72,-5,284.53509521484375
35,0.01,73,-5,284.53509521484375
35,0.01,74,-5,284.53509521484375
35,0.01,75,-5,284.53509521484375
35,0.01,76,-4,284.53509521484375
35,0.01,77,-4,284.53509521484375
35,0.01,78,-4,284.53509521484375
35,0.01,79,-4,284.53509521484375
35,0.01,80,-4,284.53509521484375
35,0.01,81,-4,284.53509521484375
35,0.01,82,-4,284.53509521484375
35,0.01,83,-4,284.53509521484375
35,0.01,84,-4,284.53509521484375
35,0.01,85,-4,284.53509521484375
35,0.01,86,-4,284.53509521484375
35,0.01,87,-4,284.53509521484375
35,0.01,88,-4,284.53509521484375
35,0.01,89,-4,284.53509521484375
35,0.01,90,-4,284.53509521484375
35,0.01,91,-4,284.53509521484375
35,0.01,92,-4,284.53509521484375
35,0.01,93,-4,284.53509521484375
35,0.01,94,-4,284.53509521484375
35,0.01,95,-4,284.53509521484375
35,0.01,96,-4,284.53509521484375
35,0.01,97,-4,284.53509521484375
35,0.01,98,-4,284.53509521484375
35,0.01,99,-4,284.53509521484375
35,0.01,100,-4,284.53509521484375
35,0.01,101,-4,284.53509521484375
35,0.01,102,-4,284.53509521484375
35,0.01,103,-4,284.53509521484375
35,0.01,104,-4,284.53509521484375
35,0.01,105,-4,284.53509521484375
35,0.01,106,-4,284.53509521484375
35,0.01,107,-4,284.53509521484375
35,0.01,108,-4,284.53509521484375
35,0.01,109,-4,284.53509521484375
35,0.01,110,-4,284.53509521484375
35,0.01,111,-4,284.53509521484375
35,0.01,112,-4,284.53509521484375
35,0.01,113,-4,284.53509521484375
35,0.01,114,-4,284.53509521484375
35,0.01,115,-4,284.53509521484375
35,0.01,116,-4,284.53509521484375
35,0.01,117,-4,284.53509521484375
35,0.01,118,-4,284.53509521484375
35,0.01,119,-4,284.53509521484375
35,0.01,120,-4,284.53509521484375
35,0.01,121,-4,284.53509521484375
35,0.01,122,-4,284.53509521484375
35,0.01,123,-4,284.53509521484375
35,0.01,124,-4,284.53509521484375
35,0.01,125,-4,284.53509521484375
35,0.01,126,-4,284.53509521484375
35,0.01,127,-4,284.53509521484375
35,0.01,128,-4,284.53509521484375
35,0.01,129,-4,284.53509521484375
35,0.01,130,-4,284.53509521484375
35,0.01,131,-4,284.53509521484375
35,0.01,132,-4,284.53509521484375
35,0.01,133,-4,284.53509521484375
35,0.01,134,-4,284.53509521484375
35,0.01,135,-4,284.53509521484375
35,0.01,136,-4,284.53509521484375
35,0.01,137,-4,284.53509521484375
35,0.01,138,-4,284.53509521484375
35,0.01,139,-4,284.53509521484375
35,0.01,140,-4,284.53509521484375
35,0.01,141,-4,284.53509521484375
35,0.01,142,-4,284.53509521484375
35,0.01,143,-4,284.53509521484375
35,0.01,144,-4,284.53509521484375
35,0.01,145,-4,284.53509521484375
35,0.01,146,-4,284.53509521484375
35,0.01,147,-4,284.53509521484375
35,0.01,148,-4,284.53509521484375
35,0.01,149,-4,284.53509521484375
35,0.01,150,-4,284.53509521484375
35,0.01,151,-4,284.53509521484375
35,0.01,152,-4,284.53509521484375
35,0.01,153,-4,284.53509521484375
35,0.01,154,-4,284.53509521484375
35,0.01,155,-4,284.53509521484375
35,0.01,156,-4,284.53509521484375
35,0.01,157,-4,284.53509521484375
35,0.01,158,-4,284.53509521484375
35,0.01,159,-4,284.53509521484375
35,0.01,160,-4,284.53509521484375
35,0.01,161,-4,284.53509521484375
35,0.01,162,-4,284.53509521484375
35,0.01,163,-4,284.53509521484375
35,0.01,164,-4,284.53509521484375
35,0.01,165,-4,284.53509521484375
35,0.01,166,-4,284.53509521484375
35,0.01,167,-4,284.53509521484375
35,0.01,168,-4,284.53509521484375
35,0.01,169,-4,284.53509521484375
35,0.01,170,-4,284.53509521484375
35,0.01,171,-4,284.53509521484375
35,0.01,172,-4,284.53509521484375
35,0.01,173,-4,284.53509521484375
35,0.01,174,-4,284.53509521484375
